FG%,3P%,FT%,FTA,TRB,AST,TOV,STL,BLK,Opponent,Point_Differential,Home,Win,Team,Opponent_Win_Rate
0.395,0.231,0.636,22.0,45.0,16.0,17.0,9.0,2.0,SAS,-16,0,0,LAL,0.7560975609756098
0.429,0.417,0.571,14.0,45.0,28.0,13.0,9.0,0.0,MIL,-4,1,0,LAL,0.3902439024390244
0.488,0.222,0.786,28.0,39.0,21.0,10.0,9.0,2.0,SAC,-12,0,0,LAL,0.2682926829268293
0.578,0.559,0.867,30.0,47.0,36.0,16.0,2.0,3.0,ATL,25,1,1,LAL,0.5609756097560976
0.462,0.368,0.739,23.0,35.0,18.0,9.0,8.0,4.0,CHO,-18,1,0,LAL,0.5357142857142857
0.494,0.419,0.905,21.0,27.0,25.0,15.0,8.0,6.0,POR,-16,0,0,LAL,0.5180722891566265
0.482,0.389,0.824,17.0,48.0,25.0,15.0,6.0,6.0,TOR,17,1,1,LAL,0.5609756097560976
0.506,0.4,0.656,32.0,51.0,24.0,13.0,3.0,2.0,DEN,8,0,1,LAL,0.6585365853658537
0.455,0.333,0.722,18.0,34.0,24.0,10.0,14.0,8.0,LAC,-8,0,0,LAL,0.5060240963855421
0.444,0.412,0.759,29.0,57.0,26.0,16.0,7.0,8.0,DAL,6,0,1,LAL,0.3170731707317073
0.561,0.485,0.724,29.0,35.0,26.0,8.0,7.0,3.0,CHI,11,0,1,LAL,0.3780487804878049
0.481,0.281,0.667,18.0,36.0,21.0,16.0,7.0,3.0,CLE,-30,0,0,LAL,0.6341463414634146
0.612,0.424,0.75,32.0,46.0,38.0,17.0,17.0,4.0,WAS,31,0,1,LAL,0.2073170731707317
0.452,0.286,0.632,19.0,36.0,21.0,11.0,5.0,3.0,NYK,-12,0,0,LAL,0.6463414634146342
0.541,0.226,0.667,39.0,41.0,25.0,12.0,14.0,0.0,BRK,16,0,1,LAL,0.24390243902439024
0.557,0.36,0.815,27.0,42.0,27.0,22.0,8.0,4.0,PHI,4,1,1,LAL,0.5542168674698795
0.507,0.407,0.8,30.0,41.0,29.0,23.0,7.0,10.0,GSW,6,1,1,LAL,0.4523809523809524
0.5,0.323,0.696,23.0,37.0,25.0,15.0,7.0,2.0,OKC,-9,1,0,LAL,0.7804878048780488
0.482,0.44,0.75,20.0,34.0,23.0,18.0,7.0,2.0,SAS,-28,1,0,LAL,0.7560975609756098
0.558,0.323,0.857,21.0,44.0,35.0,13.0,8.0,3.0,DAL,20,1,1,LAL,0.3170731707317073
